seed,detector,variant,view,rewrite,n_harm,recall,miss_mean_p,conf_miss,fpr,recall_swap_storm,recall_early_measure,auc,ece,dj_fpr
0,cnn,clean,L3,swap_to_3cx,182,0.489010989010989,0.0033144692424684763,0.510989010989011,0.0,0.0,1.0,,,
0,cnn,clean,L3,identity_pad,90,0.9888888888888889,0.05466805398464203,0.011111111111111112,0.0,nan,0.9888888888888889,,,
0,cnn,clean,L3,cx_pad,89,1.0,nan,0.0,0.0,nan,1.0,,,
0,cnn,clean,L3,decompose,183,0.48633879781420764,0.003367281286045909,0.5136612021857924,0.0,0.0,1.0,,,
0,cnn,clean,L3,relabel,89,1.0,nan,0.0,0.0,nan,1.0,,,
0,cnn,clean,L3,combined,182,0.489010989010989,0.003312961431220174,0.510989010989011,0.0,0.0,1.0,,,
0,feat_gb,clean,L3,none,89,1.0,nan,0.0,0.0,nan,1.0,1.0,2.1890446344711116e-05,0.0
0,feat_gb,clean,L3,swap_to_3cx,182,0.489010989010989,2.156895612043119e-05,0.510989010989011,0.0,0.0,1.0,,,
0,feat_gb,clean,L3,identity_pad,90,0.9888888888888889,2.1568956120431198e-05,0.011111111111111112,0.0,nan,0.9888888888888889,,,
0,feat_gb,clean,L3,cx_pad,89,1.0,nan,0.0,0.0,nan,1.0,,,
0,feat_gb,clean,L3,decompose,183,0.48633879781420764,2.156895612043119e-05,0.5136612021857924,0.0,0.0,1.0,,,
0,feat_gb,clean,L3,relabel,89,1.0,nan,0.0,0.0,nan,1.0,,,
0,feat_gb,clean,L3,combined,182,0.489010989010989,2.156895612043119e-05,0.510989010989011,0.0,0.0,1.0,,,
0,feat_gb,aug_loro,L3,swap_to_3cx,182,0.9725274725274725,0.05222099035341893,0.02197802197802198,0.08421052631578947,0.946236559139785,1.0,,,
0,feat_gb,aug_loro,L3,identity_pad,90,1.0,nan,0.0,0.05263157894736842,nan,1.0,,,
0,feat_gb,aug_loro,L3,cx_pad,89,1.0,nan,0.0,0.05263157894736842,nan,1.0,,,
0,feat_gb,aug_loro,L3,decompose,183,0.9672131147540983,0.2360180385631909,0.01092896174863388,0.06315789473684211,0.9361702127659575,1.0,,,
0,feat_gb,aug_loro,L3,relabel,89,1.0,nan,0.0,0.042105263157894736,nan,1.0,,,
0,feat_gb,aug_loro,L3,combined,182,0.9560439560439561,0.19902844884191662,0.02197802197802198,0.06315789473684211,0.9139784946236559,1.0,,,
1,ngram_lr,clean,raw,none,89,0.7415730337078652,0.39840644291419197,0.0,0.0,nan,0.7415730337078652,0.9905381431105855,0.16764385477370744,0.0
1,ngram_lr,clean,raw,swap_to_3cx,182,0.31868131868131866,0.15623285216542881,0.25274725274725274,0.0,0.0,0.651685393258427,,,
1,ngram_lr,clean,raw,identity_pad,90,0.5555555555555556,0.3701017824779963,0.0,0.0,nan,0.5555555555555556,,,
1,ngram_lr,clean,raw,cx_pad,89,0.6404494382022472,0.3683245963103553,0.0,0.042105263157894736,nan,0.6404494382022472,,,
1,ngram_lr,clean,raw,decompose,184,0.29891304347826086,0.28071030635913413,0.06521739130434782,0.07368421052631578,0.0,0.6179775280898876,,,
1,ngram_lr,clean,raw,relabel,89,0.7415730337078652,0.39840644291419197,0.0,0.0,nan,0.7415730337078652,,,
1,ngram_lr,clean,raw,combined,182,0.13736263736263737,0.3103393409005864,0.0,0.0,0.0,0.2808988764044944,,,
1,ngram_lr,aug_loro,raw,swap_to_3cx,182,0.510989010989011,0.2660671698035255,0.06593406593406594,0.0,0.24731182795698925,0.7865168539325843,,,
1,ngram_lr,aug_loro,raw,identity_pad,90,0.35555555555555557,0.2737637000116234,0.08888888888888889,0.0,nan,0.35555555555555557,,,
1,ngram_lr,aug_loro,raw,cx_pad,89,0.9775280898876404,0.38583422800379,0.0,0.6842105263157895,nan,0.9775280898876404,,,
1,ngram_lr,aug_loro,raw,decompose,184,0.7771739130434783,0.3843677970771409,0.0,0.21052631578947367,0.8210526315789474,0.7303370786516854,,,
1,ngram_lr,aug_loro,raw,relabel,89,0.8876404494382022,0.3490033087198773,0.0,0.010526315789473684,nan,0.8876404494382022,,,
1,ngram_lr,aug_loro,raw,combined,182,0.4230769230769231,0.36740449716952783,0.0,0.010526315789473684,0.13978494623655913,0.7191011235955056,,,
1,cnn,clean,raw,none,89,1.0,nan,0.0,0.0,nan,1.0,1.0,0.022434779635185132,0.0
1,cnn,clean,raw,swap_to_3cx,182,0.47802197802197804,0.01291665993630886,0.510989010989011,0.0,0.0,0.9775280898876404,,,
1,cnn,clean,raw,identity_pad,90,0.9555555555555556,0.47063344717025757,0.0,0.05263157894736842,nan,0.9555555555555556,,,
1,cnn,clean,raw,cx_pad,89,0.9775280898876404,0.39110228419303894,0.0,0.031578947368421054,nan,0.9775280898876404,,,
1,cnn,clean,raw,decompose,184,0.483695652173913,0.06657283008098602,0.41847826086956524,0.021052631578947368,0.0,1.0,,,
1,cnn,clean,raw,relabel,89,1.0,nan,0.0,0.0,nan,1.0,,,
1,cnn,clean,raw,combined,182,0.4340659340659341,0.035308293998241425,0.5164835164835165,0.0,0.0,0.8876404494382022,,,
1,feat_gb,clean,raw,none,89,1.0,nan,0.0,0.010526315789473684,nan,1.0,1.0,0.003701622638786011,0.0
1,feat_gb,clean,raw,swap_to_3cx,182,0.489010989010989,2.8572935643341396e-05,0.510989010989011,0.0,0.0,1.0,,,
1,feat_gb,clean,raw,identity_pad,90,1.0,nan,0.0,0.0,nan,1.0,,,
1,feat_gb,clean,raw,cx_pad,89,1.0,nan,0.0,0.0,nan,1.0,,,
1,feat_gb,clean,raw,decompose,184,0.483695652173913,2.85729356433414e-05,0.5163043478260869,0.0,0.0,1.0,,,
1,feat_gb,clean,raw,relabel,89,1.0,nan,0.0,0.010526315789473684,nan,1.0,,,
1,feat_gb,clean,raw,combined,182,0.489010989010989,2.8572935643341396e-05,0.510989010989011,0.0,0.0,1.0,,,
1,feat_gb,aug_loro,raw,swap_to_3cx,182,0.9725274725274725,0.38357528134234886,0.0,0.0,0.946236559139785,1.0,,,
1,feat_gb,aug_loro,raw,identity_pad,90,1.0,nan,0.0,0.010526315789473684,nan,1.0,,,
1,feat_gb,aug_loro,raw,cx_pad,89,1.0,nan,0.0,0.5368421052631579,nan,1.0,,,
1,feat_gb,aug_loro,raw,decompose,184,0.9782608695652174,0.35034930173445444,0.0,0.09473684210526316,0.9578947368421052,1.0,,,
1,feat_gb,aug_loro,raw,relabel,89,1.0,nan,0.0,0.0,nan,1.0,,,
1,feat_gb,aug_loro,raw,combined,182,0.489010989010989,0.005080926968396844,0.510989010989011,0.0,0.0,1.0,,,
1,ngram_lr,clean,L1,none,184,0.9510869565217391,0.40179834707633283,0.0,0.021052631578947368,0.9789473684210527,0.9213483146067416,0.9969679633867277,0.13862975110054485,0.0
1,ngram_lr,clean,L1,swap_to_3cx,184,0.9510869565217391,0.40179834707633283,0.0,0.021052631578947368,0.9789473684210527,0.9213483146067416,,,
1,ngram_lr,clean,L1,identity_pad,184,0.9510869565217391,0.40179834707633283,0.0,0.021052631578947368,0.9789473684210527,0.9213483146067416,,,
1,ngram_lr,clean,L1,cx_pad,184,0.9510869565217391,0.40179834707633283,0.0,0.021052631578947368,0.9789473684210527,0.9213483146067416,,,
1,ngram_lr,clean,L1,decompose,184,0.9510869565217391,0.40179834707633283,0.0,0.021052631578947368,0.9789473684210527,0.9213483146067416,,,
1,ngram_lr,clean,L1,relabel,184,0.875,0.3406215731325607,0.0,0.021052631578947368,0.9157894736842105,0.8314606741573034,,,
1,ngram_lr,clean,L1,combined,184,0.875,0.3406215731325607,0.0,0.021052631578947368,0.9157894736842105,0.8314606741573034,,,
1,ngram_lr,aug_loro,L1,swap_to_3cx,184,0.9836956521739131,0.3698053625799387,0.0,0.010526315789473684,0.9894736842105263,0.9775280898876404,,,
1,ngram_lr,aug_loro,L1,identity_pad,184,0.9836956521739131,0.3698053625799387,0.0,0.010526315789473684,0.9894736842105263,0.9775280898876404,,,
1,ngram_lr,aug_loro,L1,cx_pad,184,0.9836956521739131,0.3698053625799387,0.0,0.010526315789473684,0.9894736842105263,0.9775280898876404,,,
1,ngram_lr,aug_loro,L1,decompose,184,0.9836956521739131,0.3709191822703389,0.0,0.010526315789473684,0.9894736842105263,0.9775280898876404,,,
1,ngram_lr,aug_loro,L1,relabel,184,0.9293478260869565,0.3303147925085033,0.0,0.021052631578947368,0.9894736842105263,0.8651685393258427,,,
1,ngram_lr,aug_loro,L1,combined,184,0.9293478260869565,0.3303147925085033,0.0,0.021052631578947368,0.9894736842105263,0.8651685393258427,,,
1,cnn,clean,L1,none,184,0.9456521739130435,0.3799852728843689,0.0,0.031578947368421054,0.8947368421052632,1.0,0.9950800915331809,0.06633259476192536,0.0
1,cnn,clean,L1,swap_to_3cx,184,0.9456521739130435,0.3799852728843689,0.0,0.031578947368421054,0.8947368421052632,1.0,,,
1,cnn,clean,L1,identity_pad,184,0.9456521739130435,0.3799852728843689,0.0,0.031578947368421054,0.8947368421052632,1.0,,,
1,cnn,clean,L1,cx_pad,184,0.9456521739130435,0.3799852728843689,0.0,0.031578947368421054,0.8947368421052632,1.0,,,
1,cnn,clean,L1,decompose,184,0.9456521739130435,0.3799852728843689,0.0,0.031578947368421054,0.8947368421052632,1.0,,,
1,cnn,clean,L1,relabel,184,0.9456521739130435,0.33422642946243286,0.005434782608695652,0.05263157894736842,0.9052631578947369,0.9887640449438202,,,
